track_name,track_id,artist_name,album_name,release_date,artist_genre,popularity,Duration (ms),Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Stuck In The Middle,1Ad4anaX6hJyfZvVDkrKQg,BABYMONSTER,BABYMONSTER Pre-Release Single [Stuck In The Middle],2024-02-01,[],75,246236,0.88,0.633,0.326,4.77e-05,9,0.0751,-8.994,1,0.033,119.837,4,0.327
Cedar,479UZI7rBJRJwqB0UZyZ57,Gracie Abrams,The Buccaneers: Season 1 (Apple TV+ Original Series Soundtrack),2023-11-08,['alt z'],67,252850,0.74,0.531,0.4,7.88e-05,7,0.0991,-8.647,1,0.0319,133.734,4,0.143
Aphrodite,7qXikOoj2QEA7GzrT6XLqk,Sam Short,Aphrodite,2024-01-05,"['alt z', 'singer-songwriter pop']",65,141920,0.012,0.472,0.617,9.44e-05,9,0.499,-4.671,0,0.0473,108.112,4,0.389
Tattoos,4p1i3nnCvKtkMWWx7EuKQ7,Natalie Jane,Tattoos,2024-02-09,['singer-songwriter pop'],68,165607,0.296,0.468,0.526,1.47e-06,4,0.114,-6.188,0,0.0459,159.552,3,0.103
Maybe Life Is Good,1Yg1vxpbL10eBFoKXHrFMn,Em Beihold,Maybe Life Is Good,2024-02-09,"['alt z', 'gen z singer-songwriter']",59,190853,0.26,0.645,0.694,1.05e-05,11,0.114,-5.432,1,0.201,160.025,4,0.434
You & Me,6gcuJpHu0Ey30D5WR76y98,JENNIE,JENNIE Special Single [You & Me],2023-10-06,['k-pop'],79,179164,0.0147,0.787,0.573,1.72e-05,9,0.0926,-6.197,1,0.0606,111.996,4,0.575
Heather,4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Kid Krow,2020-03-20,"['bedroom pop', 'pop', 'pov: indie']",91,198040,0.584,0.357,0.425,0.0,5,0.322,-7.301,1,0.0333,102.078,3,0.27
august,3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,folklore,2020-07-24,['pop'],90,261922,0.538,0.532,0.623,7.28e-05,5,0.0925,-9.208,1,0.0331,89.937,4,0.403
Say Yes To Heaven,6GGtHZgBycCgGBUhZo81xe,Lana Del Rey,Say Yes To Heaven,2023-05-19,"['art pop', 'pop']",90,209156,0.709,0.49,0.352,0.0856,6,0.114,-11.577,0,0.0254,99.992,4,0.166
Until I Found You (with Em Beihold) - Em Beihold Version,1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (Em Beihold Version),2022-04-22,['gen z singer-songwriter'],90,176440,0.777,0.551,0.55,0.0,10,0.202,-5.339,1,0.0286,101.19,3,0.342
drivers license,5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,SOUR,2021-05-21,['pop'],89,242013,0.768,0.561,0.431,1.42e-05,10,0.106,-8.81,1,0.0578,143.875,4,0.137
In The Stars,1ei3hzQmrgealgRKFxIcWn,Benson Boone,In The Stars,2022-04-29,['singer-songwriter pop'],89,216410,0.338,0.362,0.54,0.0,10,0.139,-6.031,1,0.0528,78.007,3,0.3
Memories,4cktbXiXOapiLBMprHFErI,Maroon 5,JORDI (Deluxe),2021-06-11,['pop'],87,189486,0.841,0.775,0.327,0.0,11,0.0821,-7.241,1,0.0557,91.05,4,0.595
You’re Losing Me (From The Vault),3CWq0pAKKTWb0K4yiglDc4,Taylor Swift,You're Losing Me (From The Vault),2023-11-29,['pop'],90,277831,0.529,0.747,0.391,0.003,0,0.111,-13.767,1,0.052,102.984,4,0.195
TELEKINESIS (feat. SZA & Future),1i9lZvlaDdWDPyXEE95aiq,"Travis Scott, SZA, Future",UTOPIA,2023-07-28,"['hip hop', 'rap', 'slap house']",87,353754,0.575,0.458,0.535,0.0,5,0.168,-4.854,0,0.0281,82.826,4,0.216
ceilings,2L9N0zZnd37dwF0clgxMGI,Lizzy McAlpine,five seconds flat,2022-04-08,"['alt z', 'boston folk', 'indie pop', 'singer-songwriter pop']",87,182887,0.473,0.516,0.322,0.00194,9,0.215,-11.762,1,0.0292,148.005,3,0.261
