track_name,track_id,artist_name,album_name,release_date,artist_genre,popularity,Duration (ms),Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time Signature,Valence
Training Season,6Qb7YsAqH4wWFUMbGsCpap,Dua Lipa,Training Season,2024-02-15,"['dance pop', 'pop', 'uk pop']",86,209487,0.0365,0.815,0.582,1.45e-06,5,0.138,-4.5,0,0.0532,123.03,4,0.671
Capricorn,2tKqhcDNVVKXJqllKzrecM,Vampire Weekend,Capricorn / Gen-X Cops,2024-02-16,"['baroque pop', 'chamber pop', 'garage rock', 'indie rock', 'indietronica', 'modern rock']",66,249560,0.159,0.563,0.644,0.000311,7,0.118,-3.889,1,0.0318,140.022,4,0.525
Bittersweet,7yfRb4seXT7w8zVMW0dXNa,Gunna,Bittersweet,2024-02-16,"['atl hip hop', 'melodic rap', 'rap', 'trap']",70,191493,0.564,0.44,0.636,0.0,1,0.253,-5.73,0,0.0705,158.475,4,0.687
CONTIGO (with Tiësto),4UkUxO2WlKLc0Q1iEutGGh,"KAROL G, Tiësto",CONTIGO (with Tiësto),2024-02-15,"['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']",83,192786,0.178,0.846,0.545,6.23e-06,5,0.0989,-7.826,1,0.0736,122.029,4,0.268
TEXAS HOLD 'EM,0Z7nGFVCLfixWctgePsRk9,Beyoncé,TEXAS HOLD 'EM,2024-02-11,"['pop', 'r&b']",90,235636,0.588,0.725,0.709,0.0,2,0.135,-6.514,1,0.072,110.024,4,0.353
Stand On It (with Future),7H3lr9bsPBGFx5NyTuBBGc,"Yeat, Future",2093,2024-02-16,"['pluggnb', 'rage rap']",74,180800,0.00407,0.584,0.593,0.000849,10,0.226,-9.614,0,0.138,149.972,4,0.319
"yes, and? (with Mariah Carey)",5LBv48NNyHsknRYwFWC361,"Ariana Grande, Mariah Carey","yes, and?",2024-02-16,['pop'],76,214994,0.0876,0.742,0.769,2.68e-06,8,0.0949,-5.346,1,0.0604,118.99,4,0.778
Older,2EBtLxQSV8EHpk4gHoMnl3,Lizzy McAlpine,Older,2024-02-13,"['alt z', 'boston folk', 'indie pop', 'singer-songwriter pop']",71,201303,0.903,0.33,0.184,0.0,3,0.11,-10.683,1,0.0401,82.895,3,0.188
A Tu Manera,2500EpUpryOBJX0rO8fDuB,"Junior H, Peso Pluma",A Tu Manera,2024-02-16,"['corrido', 'corridos tumbados', 'musica mexicana', 'sad sierreno', 'sierreno']",79,261068,0.669,0.747,0.577,0.00511,9,0.121,-7.775,0,0.0262,96.996,4,0.501
Sorrys & Ferraris,0tCqfQ0MHZBYvsZ169ZnUM,Polo G,Sorrys & Ferraris,2024-02-16,"['chicago rap', 'rap']",72,167915,0.0554,0.689,0.484,0.0,0,0.0666,-8.874,1,0.383,161.077,4,0.35
Shiver,1ls2PNiOHOxmSfHRyslgAl,"John Summit, Hayla",Shiver,2024-02-14,"['edm', 'house', 'pop dance', 'tech house', 'uk dance']",72,234330,0.0013,0.537,0.924,3.42e-05,4,0.108,-4.616,0,0.034,127.025,4,0.0623
Yeern 101,3K5yjMCFHN4TRWKj1zdKIQ,ScHoolboy Q,Yeern 101,2024-02-15,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",68,146086,0.182,0.867,0.761,0.0,11,0.0848,-6.646,1,0.142,138.004,4,0.362
Rebound (feat. Anuel AA),0kc2XuAnTuAA4viTMoKsjV,"Jennifer Lopez, Anuel AA",This Is Me...Now (Deluxe),2024-02-16,"['dance pop', 'pop', 'urban contemporary']",63,199133,0.213,0.777,0.652,0.0,5,0.0925,-5.296,0,0.0999,138.034,4,0.663
You Could Start A Cult - Live from Spotify Studios,2fWqTX6zcIHCfhJjLA5pxR,Niall Horan,Live from Spotify Studios,2024-02-13,['pop'],59,176055,0.829,0.506,0.113,4.3e-06,0,0.733,-11.288,1,0.0311,83.985,4,0.2
Country's Cool Again,6fL5O5y6pSeU5Hjx9SgKar,Lainey Wilson,Country's Cool Again,2024-02-16,"['contemporary country', 'modern country pop']",62,218280,0.101,0.549,0.901,5.7e-06,0,0.139,-3.714,0,0.0705,170.008,4,0.803
Dark Matter,0HLRccMV34ON7T0hH1qEVn,Pearl Jam,Dark Matter,2024-02-13,"['alternative metal', 'alternative rock', 'classic rock', 'grunge', 'permanent wave', 'rock']",71,211720,0.000251,0.495,0.961,0.0,2,0.0729,-3.798,1,0.145,100.036,4,0.403
Spring Is Coming With A Strawberry In The Mouth,0BpAmsdYjaf08yE9y2YgoF,Caroline Polachek,"Desire, I Want To Turn Into You: Everasking Edition",2024-02-14,"['art pop', 'escape room', 'indie pop', 'indietronica']",63,233416,0.0849,0.706,0.803,0.0354,0,0.0678,-5.874,0,0.0339,118.988,4,0.482
Ellipsis,3MaBdTM6hLwb4n280HJaia,"serpentwithfeet, Orion Sun",GRIP,2024-02-16,"['alternative r&b', 'escape room', 'experimental r&b']",36,201218,0.524,0.727,0.596,0.6,7,0.146,-9.27,0,0.0314,136.017,4,0.397
Whatever She Wants,57wp7VFnV8X0pSVnYArGeJ,Bryson Tiller,Whatever She Wants,2024-02-13,"['kentucky hip hop', 'r&b', 'rap']",77,161342,0.102,0.82,0.487,0.0,9,0.0803,-7.358,0,0.0959,96.028,4,0.431
Cupid's Guidance,48k4TP7v4OtZRnblRrIEQT,Sleepy Hallow,Cupid's Guidance,2024-02-14,"['brooklyn drill', 'nyc rap']",69,157866,0.295,0.835,0.639,0.0,7,0.369,-6.827,1,0.364,146.03,4,0.926
Waiting in Vain - Spotify Singles,5tHipIzrGqcoZ4ovlW1Aip,Jordan Ward,Waiting In Vain (Spotify Singles),2024-02-14,"['indie hip hop', 'indie r&b']",58,252573,0.938,0.331,0.197,0.218,9,0.0923,-16.545,1,0.0361,174.515,4,0.409
River,3UrmjZcjcYP3zFUdfWOy46,Myles Smith,River,2024-02-16,['singer-songwriter pop'],60,156358,0.38,0.764,0.502,0.0,6,0.14,-8.967,0,0.0293,109.944,4,0.768
POP POP POP,7f4azWcTVEDHZ7DSc5eh5a,IDLES,TANGK,2024-02-16,"['bristol indie', 'crank wave', 'indie rock', 'modern rock']",62,256573,0.228,0.724,0.728,0.101,10,0.282,-7.938,0,0.0796,122.984,4,0.175
Highlights,0xvkTfdXvK7f1bOZ98ekbH,Sasha Alex Sloan,Highlights,2024-02-16,['alt z'],62,152293,0.85,0.734,0.169,0.0,9,0.104,-12.166,1,0.0377,112.07,4,0.455
Aphid (feat. Dijon),5BLRxUeMQFa4cK61ljrNiF,Matt Champion,Aphid (feat. Dijon),2024-02-14,['bedroom pop'],55,165360,0.706,0.673,0.546,0.0,6,0.162,-8.238,0,0.158,89.074,4,0.705
Lovers In A Past Life (with Rag'n'Bone Man),6v4ABPB255HDSWyIj3S9Wn,"Calvin Harris, Rag'n'Bone Man",Lovers In A Past Life (with Rag'n'Bone Man),2024-02-16,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",72,160650,0.0713,0.752,0.793,1.71e-05,9,0.135,-3.871,0,0.0423,129.992,4,0.725
Time Machine (feat. Thundercat & James Fauntleroy),5dnEmsv2Uc24hMnLv9k0Xo,"Kitty Ca$h, Thundercat, James Fauntleroy",Time Machine (feat. Thundercat & James Fauntleroy),2024-02-16,[],56,251546,0.129,0.785,0.794,0.143,8,0.0771,-6.23,0,0.355,117.998,4,0.575
Turnt,3FYxg905coMBsZgKfOzz5R,"Money Man, Moneybagg Yo",Purple Heart,2024-02-14,"['memphis hip hop', 'southern hip hop', 'trap']",57,165092,0.011,0.901,0.535,0.011,1,0.366,-6.282,1,0.248,128.056,4,0.102
Becky (feat. 41),399es3LKBCviugHiDQcCI1,"Lola Brooke, 41",Becky (feat. 41),2024-02-16,['trap queen'],52,206666,0.057,0.819,0.835,0.0,11,0.31,-4.561,0,0.233,135.032,4,0.361
Head Head Honcho,0rW8JS6v94ggHMBiAI2PNf,Kim Petras,Slut Pop Miami,2024-02-14,"['alt z', 'pop', 'transpop']",65,181417,0.00105,0.768,0.652,0.0181,9,0.082,-3.819,1,0.0391,126.999,4,0.696
Down,78dsAqvPezU0xkeEJMjlj3,"Jason Derulo, David Guetta",Nu King,2024-02-16,"['dance pop', 'pop']",70,129796,0.0725,0.732,0.738,0.0,7,0.203,-5.014,0,0.292,115.923,4,0.734
LAST OF US (feat. Rita Ora),2Mwmp4qVCe8CJcalsT4xm1,"Gryffin, Rita Ora",LAST OF US (feat. Rita Ora),2024-02-16,"['edm', 'pop dance']",65,190909,0.0195,0.502,0.85,0.00536,11,0.106,-4.808,1,0.0673,131.985,4,0.29
Explode!,1ROCJzbhjpP7uYRrse4fzf,Mother Mother,Grief Chapter,2024-02-16,"['canadian indie rock', 'pov: indie', 'vancouver indie']",58,151027,0.0216,0.735,0.731,4.95e-05,9,0.0694,-5.632,1,0.0342,124.044,4,0.732
Your Apartment,2F8GiqfSE1JSjLGHlHMmQa,Wallows,Your Apartment,2024-02-16,['pov: indie'],65,198707,0.00109,0.558,0.873,0.00202,4,0.116,-3.225,1,0.0601,142.019,4,0.711
Life Is,3aJrUfPxOANdzY1weAqrgH,Jessica Pratt,Life Is,2024-02-13,"['ambient folk', 'art pop', 'freak folk']",49,188293,0.75,0.678,0.338,0.00584,2,0.0639,-11.926,1,0.0256,103.985,4,0.38
Happy Hurts,79odnhnVWU9uEE3XAQhTo3,Warren Zeiders,Pretty Little Poison (Deluxe),2024-02-16,['modern country pop'],58,194680,0.429,0.503,0.485,8.18e-06,3,0.117,-6.08,1,0.0285,143.967,4,0.248
Morfina (feat. Paloma Mami),4PFTO7EacpZMyuTa5dZGml,"Prince Royce, Paloma Mami",Morfina (feat. Paloma Mami),2024-02-15,"['bachata', 'latin hip hop', 'latin pop', 'urbano latino']",65,229474,0.403,0.788,0.773,0.0,11,0.519,-5.044,0,0.0354,129.963,4,0.937
Thinking Less,4QDAVHo7gtwrRp3aNpHdZm,Sinéad Harnett,Thinking Less,2024-02-16,"['alternative r&b', 'gauze pop', 'uk contemporary r&b']",50,162653,0.348,0.614,0.492,0.0018,5,0.102,-9.527,0,0.0643,72.947,3,0.111
27 CLUB,3uIypzJDJTxj31J313Imgg,Tierra Whack,27 CLUB,2024-02-16,['alternative r&b'],52,153746,0.795,0.581,0.302,0.0,0,0.109,-7.996,1,0.0232,62.488,4,0.176
Dive,5WMA8AmXGff8wo450I3Ecn,Holly Humberstone,Dive,2024-02-15,"['alt z', 'indie pop', 'modern alternative pop', 'uk pop']",59,239394,0.575,0.418,0.429,5.15e-06,7,0.12,-6.741,1,0.0319,80.738,4,0.175
Heartbreak & Alcohol,5GXhlMF4fbI0aJaxtR4ilc,BRELAND,Heartbreak & Alcohol,2024-02-16,['black americana'],54,166032,0.195,0.745,0.778,0.0,1,0.0967,-3.185,1,0.0339,139.944,4,0.874
Bored,7HyJAC5Z0JDS7rq7gbK7EW,Waxahatchee,Bored,2024-02-13,"['alabama indie', 'art pop', 'bubblegrunge', 'chamber pop', 'countrygaze', 'indie pop', 'indie rock']",53,175120,0.00467,0.613,0.805,8.14e-06,9,0.117,-3.57,1,0.0461,114.987,4,0.47
Foam,4lfuRRTLD4UFkSVVArVVaK,Royel Otis,PRATTS & PAIN,2024-02-16,[],55,185213,0.00106,0.65,0.777,0.0162,8,0.125,-6.146,0,0.0541,175.07,3,0.935
Brown Paper Bag,1305CPBxxAlpxmTciVehNu,DIIV,Brown Paper Bag,2024-02-15,"['brooklyn indie', 'dream pop', 'dreamo', 'indie rock', 'indie surf', 'modern dream pop', 'neo-psychedelic', 'nu gaze', 'shoegaze']",52,265000,0.00154,0.416,0.59,0.843,5,0.0866,-4.962,1,0.0313,123.932,4,0.158
system,0Tc7p0cKE8078NVGRDcDOX,salute,system,2024-02-14,['ukg revival'],53,232239,0.00239,0.608,0.872,0.00441,6,0.214,-6.415,1,0.333,137.007,4,0.506
Quédate Bebé,427yd0A6Tkq8p2RYP4NeVn,Grupo Frontera,Quédate Bebé,2024-02-15,['musica chihuahuense'],71,193258,0.248,0.67,0.752,0.0,9,0.0599,-5.596,1,0.0408,90.342,4,0.808
Carrusel,2RpDqAVH05D4NIM4IuGtkr,Ozuna,Carrusel,2024-02-13,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']",66,143866,0.855,0.606,0.477,0.0,2,0.416,-5.567,0,0.0309,81.867,4,0.348
Still In Shocc,2dmbxOmABBBJzVNSTVH5T9,03 Greedo,Still In Shocc,2024-02-16,"['cali rap', 'melodic rap']",48,149400,0.0837,0.728,0.56,0.0,11,0.0986,-7.765,1,0.385,180.151,4,0.331
Only You,5u5G6k9YtF2LYpXXTkQXfl,"Big Boogie, DJ Drama",Only You,2024-02-14,['memphis hip hop'],47,141000,0.0938,0.653,0.809,0.0,10,0.278,-6.893,0,0.129,157.014,4,0.664
Obsessed,0Bm5WU83MjOYoDXKoiOQBJ,JayO,Episode 1: Lost,2024-02-13,['afrobeats'],47,165610,0.437,0.572,0.532,1.63e-05,0,0.105,-5.465,1,0.199,88.503,4,0.741
Belong Together,4JGtRHnWyaNq7FIOZoBdPe,Mark Ambor,Belong Together,2024-02-16,['singer-songwriter pop'],62,148317,0.491,0.646,0.668,0.0,2,0.212,-5.203,1,0.0282,90.97,4,0.64
Wish You Would,4BEZbKzHuYdT7zM6zCesSG,Tyler Hubbard,Wish You Would,2024-02-16,"['contemporary country', 'modern country pop']",55,186417,0.00768,0.548,0.912,0.0,8,0.182,-4.812,1,0.0482,90.002,4,0.622
dumb with you,0nJbXArCCbkRflshkWQUJM,N3WYRKLA,"it’s not you, it’s me",2024-02-16,[],39,179507,0.0132,0.764,0.504,0.0,6,0.166,-7.508,0,0.0759,131.029,4,0.279
kinda smacks,4cwi0Yd3pq1GfvHj7FLMdn,"Royal & the Serpent, GAYLE",kinda smacks,2024-02-14,"['alt z', 'indie electropop', 'modern alternative pop']",54,136601,0.107,0.812,0.71,0.00424,11,0.076,-5.164,1,0.0421,138.041,4,0.97
Carry You,31ZO9XuKt48Qb2eUTBynd2,"Martin Garrix, Third Party, Oaks, Declan J Donovan",Carry You,2024-02-16,"['dutch edm', 'edm', 'pop', 'pop dance', 'progressive house']",69,215905,0.0865,0.507,0.731,0.0,0,0.0815,-5.611,0,0.0403,126.996,4,0.356
Missing Out,2kAYu8GaEILjHWtqYg83TD,Maya Hawke,Missing Out,2024-02-14,['indie pop'],55,217320,0.589,0.677,0.585,0.0898,1,0.0855,-9.187,1,0.0433,79.994,4,0.889
Vertino,5RL5b8Pj1Fp7BehQH6YzSo,"Conway the Machine, Joey Bada$$",Vertino,2024-02-16,"['alternative hip hop', 'boom bap', 'buffalo hip hop', 'upstate ny rap']",60,333671,0.00298,0.387,0.797,0.0,6,0.147,-8.019,1,0.101,148.998,4,0.693
LOVE NEVER FELT LIKE THIS,2h3slSQMBstt11fys4CFYb,MAX,LOVE IN STEREO,2024-02-16,"['singer-songwriter pop', 'teen pop', 'viral pop']",53,175040,0.709,0.771,0.587,2.05e-05,2,0.106,-6.82,1,0.0651,93.971,4,0.782
Osadebe,4vcNkaBM2R70xWEUQDLLh5,Joeboy,Osadebe,2024-02-16,"['afrobeats', 'afropop', 'azontobeats', 'nigerian pop']",58,156756,0.0347,0.726,0.655,1.41e-06,8,0.0895,-8.684,0,0.146,111.078,4,0.431
Let Me Feel Your Charm - Spotify Singles,2kOdSOu7imEWFLgeYcY7tq,"Thee Sacred Souls, Jensine Benitez",Let Me Feel Your Charm - Spotify Singles,2024-02-14,"['latinx alternative', 'souldies']",53,162029,0.458,0.573,0.534,0.0182,1,0.186,-7.904,0,0.0235,92.812,4,0.857
Tacos Gucci,1f9j6LO5166GQoE0CMA5tq,Anuel AA,Tacos Gucci,2024-02-15,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']",76,207157,0.746,0.633,0.583,0.000742,8,0.0893,-4.847,0,0.139,189.985,4,0.763
Burn The Witch,4Ne4UbfqgXcBdIsYHjvR6y,"PVRIS, Tommy Genesis, Alice Longyu Gao",Burn The Witch,2024-02-16,"['pixie', 'pop emo', 'pop punk']",55,175959,0.00404,0.706,0.879,0.0829,9,0.0526,-4.058,1,0.0396,99.98,4,0.554
Care,6egdXtpyZGrZwsaESnpHAi,Hana Vu,Care,2024-02-14,['bedroom pop'],48,277815,0.0184,0.557,0.581,0.0,2,0.115,-5.293,1,0.0316,80.178,4,0.198
Over the Moon,2JFSlL1Xsy2j7T5HdRCxpp,Lily Meola,Over the Moon,2024-02-16,[],46,256980,0.647,0.351,0.231,1.12e-05,2,0.0891,-6.861,1,0.0315,138.591,4,0.155
Lose Her For Nothin’,3BDk82FzvaQu6hvLuhrcPh,Redferrin,Old No. 7,2024-02-16,['modern country pop'],54,162953,0.0898,0.681,0.617,0.0,0,0.143,-4.672,1,0.0379,139.857,4,0.371
Gonna Be Good,67TXuANxWhN3i3bUVXxD9U,TAYA,Gonna Be Good,2024-02-16,"['ccm', 'world worship', 'worship']",49,183213,0.374,0.582,0.553,0.0,2,0.391,-4.997,1,0.0525,184.052,4,0.482
Just Friends,4fECQCAJRoonwoGXi898an,"Reggie Becton, Mayila",Just Friends,2024-02-16,['indie r&b'],40,177786,0.754,0.608,0.357,0.0,7,0.0745,-10.162,1,0.038,127.051,4,0.447
Be Quiet and Drive (Far Away) – Spotify Singles,2SprbOeFdglaLgZoCcytuu,HEALTH,Be Quiet and Drive (Far Away) – Spotify Singles,2024-02-12,"['grave wave', 'metropopolis', 'noise pop', 'noise rock']",58,187189,8.6e-05,0.469,0.912,0.892,1,0.0682,-4.899,1,0.0467,82.522,4,0.636
NOT AVAILABLE,2eVA7XGnuaVpwf8KFp8HvF,"Jay Hound, Sdot Go, SweepersENT, Jay5ive, NazGPG",NOT AVAILABLE,2024-02-14,[],47,124074,0.102,0.777,0.649,0.0,10,0.103,-5.22,0,0.275,140.033,4,0.317
Bitch Duh,1SNELiuKo43ybJfAD2htXh,Dreezy,Bitch Duh,2024-02-16,"['chicago rap', 'drill', 'trap queen']",51,136235,0.00125,0.834,0.734,0.0,9,0.245,-5.508,1,0.159,169.968,4,0.268
One More Night,7cR4WZEjKT9PU2heOK8cnx,"KUČKA, Flume",One More Night,2024-02-14,['electra'],58,164451,0.0907,0.8,0.588,0.000165,8,0.105,-8.055,0,0.0931,130.004,4,0.844
hide n seek,124MUbhjtneYWTOaVvkLJx,Ethan Bortnick,luna park,2024-02-16,[],54,176146,0.0656,0.622,0.896,0.000789,2,0.332,-3.324,0,0.0382,89.993,4,0.483
I Could Drive You Crazy,41FgxEQPfzOWhyzb3vSmKi,Sierra Ferrell,I Could Drive You Crazy,2024-02-15,"['alternative americana', 'new americana']",51,216128,0.503,0.497,0.42,2.53e-05,7,0.103,-6.226,1,0.033,132.778,4,0.387
Good On You,4rgtVCZ85aJHX0MVPM6fjw,Priscilla Block,Good On You,2024-02-16,"['contemporary country', 'modern country pop']",56,187333,0.00799,0.473,0.807,1.27e-06,5,0.0999,-3.654,1,0.0334,139.963,4,0.353
Too Much Too Little,6uB9IlAd8cad9y7yDCeALb,Georgia,Too Much Too Little,2024-02-13,['uk alternative pop'],47,177675,0.0151,0.656,0.874,0.000218,0,0.0894,-5.469,1,0.0424,116.991,4,0.183
Brain Damage,0HKnAO33C9ScjOzTZzqEVb,Joywave,Brain Damage,2024-02-16,"['indietronica', 'modern alternative rock', 'modern rock', 'rochester ny indie', 'shimmer pop']",47,193000,0.00419,0.572,0.618,0.000993,10,0.0909,-4.872,1,0.0347,170.027,4,0.36
Soak,1eqEBpA2T1w9Sn97D4d6Wl,Abby Sage,Soak,2024-02-16,[],45,164019,0.302,0.681,0.627,0.326,2,0.145,-7.628,1,0.0294,112.951,4,0.627
"Oh, Wait...",4AG0bAu5QvQacdyOhQLYqF,Shaé Universe,Love's Letter,2024-02-14,"['alternative r&b', 'r&drill', 'uk contemporary r&b']",47,250462,0.703,0.275,0.52,0.000562,0,0.095,-9.87,1,0.166,200.337,4,0.124
R&B,3LtQtMTElsBhQQl1Oe2WVv,"MIKE, Tony Seltzer",R&B,2024-02-14,"['alternative hip hop', 'chill abstract hip hop', 'indie hip hop']",51,109333,0.372,0.653,0.549,0.0,10,0.102,-7.383,0,0.0545,89.95,4,0.113
Vibrate,7wSyLZthdqBgxVRHOLPSSo,"James Hype, Tita Lau",Vibrate / On The Ground,2024-02-16,"['deep groove house', 'house', 'pop dance', 'uk dance']",54,134170,0.00202,0.777,0.916,0.43,11,0.25,-7.353,1,0.0751,129.014,4,0.622
Silence Is Loud,1LqFMtMW44W8XQ1OtV43gg,Nia Archives,Silence Is Loud,2024-02-15,['modern jungle'],53,157745,0.000163,0.441,0.927,0.693,2,0.676,-3.207,1,0.128,166.001,4,0.493
Eyes on my baby,7cM6obAwlMkP6nDTwNPEl2,BETWEEN FRIENDS,Eyes on my baby,2024-02-16,"['indie pop', 'la pop', 'pov: indie']",52,132737,0.0623,0.759,0.687,0.0,0,0.118,-5.112,1,0.057,128.008,4,0.414
Kiss Me,1RMYwkxY1v6RryYIbfDHjY,Crawlers,The Mess We Seem To Make (Deluxe),2024-02-16,"['pov: indie', 'warrington indie']",43,214935,0.0322,0.407,0.667,1.55e-06,0,0.401,-6.044,1,0.0339,176.035,4,0.287
"Fell First, Fell Hard",4uBqMCNpMiSYxfQxYPmdbB,Katherine Li,"love, k",2024-02-14,['singer-songwriter pop'],50,183970,0.459,0.806,0.511,1.04e-06,4,0.071,-8.619,1,0.109,136.012,4,0.181
Lonely Day - Spotify Singles,2bmGjqYsvXVTt1CRfUicIH,Amira Elfeky,Lonely Day - Spotify Singles,2024-02-12,[],51,156000,0.717,0.446,0.395,2.69e-06,9,0.0964,-7.097,0,0.0289,109.89,3,0.116
Darlin',727x6SZXGF0LfU2vi3rjaH,Chase Matthew,We All Grow Up,2024-02-16,['modern country pop'],56,165000,0.181,0.798,0.606,0.0,2,0.391,-6.28,1,0.0338,120.063,4,0.895
Matching Tattoos,6Q0oVfhe6qYiwv6VNHhEAd,Josh Ross,Matching Tattoos,2024-02-16,['modern country pop'],55,180181,0.364,0.467,0.579,0.0,4,0.0964,-4.853,1,0.0275,77.948,4,0.201
Cottontail,0OoubLzXym5JYNHL7PSAHu,Nep,Cottontail,2024-02-14,[],54,161162,0.638,0.621,0.408,0.0,7,0.229,-7.078,1,0.0361,99.395,4,0.837
ask nicely,0adKvhR28ImyPl8yKC5oKO,Ayleen Valentine,ask nicely,2024-02-16,[],42,159200,0.0464,0.399,0.822,0.000159,1,0.132,-6.458,0,0.0467,159.949,4,0.239
It Ain't Safe,4prm1PK1B7a2j8ELfro1rB,KB,His Glory Alone II (Deluxe),2024-02-16,['christian hip hop'],48,177664,0.0114,0.455,0.688,0.0,8,0.349,-6.531,1,0.0475,120.099,4,0.169
La Romana,6SwuM3zEorFitaGONgDFbb,Luis Fonsi,La Romana,2024-02-16,"['latin pop', 'puerto rican pop']",55,155853,0.0987,0.807,0.839,0.0,0,0.301,-2.43,1,0.0415,129.917,4,0.878
Clouds,23DyGq8RBW6iTOhVkMUfXT,JON VINYL,Clouds,2024-02-14,"['canadian contemporary r&b', 'indie r&b']",47,235035,0.801,0.577,0.303,1.43e-05,9,0.0881,-7.757,1,0.036,123.631,3,0.225
Daydream Repeat,4c7b2Ft8Br0CgJLmt3mI7Z,Four Tet,Daydream Repeat,2024-02-14,"['electronica', 'folktronica', 'indietronica', 'intelligent dance music', 'trip hop']",56,368770,0.0755,0.726,0.889,0.92,7,0.504,-10.291,1,0.0468,128.393,4,0.313
SPIRIT OF THUNDER,0rdTOhdlIGHn7QaLLv9G44,"Yung Lean, DVRST, Riff Raff, Bladee",SPIRIT OF THUNDER,2024-02-16,"['cloud rap', 'psychedelic hip hop', 'underground hip hop']",58,195600,0.00288,0.545,0.953,0.0117,7,0.718,-4.145,0,0.0385,100.01,4,0.0374
Like This,3w1SOTwpEC5IgANfFVCdwy,Buddy,Like This,2024-02-16,"['alternative r&b', 'cali rap']",45,177842,0.0671,0.79,0.776,0.0,0,0.0834,-7.61,1,0.176,75.964,4,0.668
Give It Back to Me,5XdQJhxNoH6XCKMqjp8ibG,Francis of Delirium,Give It Back to Me,2024-02-15,['luxembourgian indie'],41,262600,0.232,0.519,0.716,2.56e-05,0,0.0877,-5.782,1,0.0387,131.94,4,0.206
Get Numb To It!,0ra240JuO5Hu2qgHnLl3FB,Friko,"Where we've been, Where we go from here",2024-02-16,[],37,292599,0.466,0.278,0.946,0.0014,9,0.226,-5.598,1,0.198,154.723,4,0.316
Dreams (Plasma Reflex) (feat. Crooked Bangs),4d3Bpulz7wXrd8hndD7ci1,"Subtronics, Crooked Bangs",TESSERACT,2024-02-16,['brostep'],54,240000,0.0655,0.775,0.85,0.474,4,0.294,-6.273,0,0.116,124.019,4,0.102
Himalaya,4JUQCUpWyitHecYN5qFLDw,"Wisin, Pedro Capó",Himalaya,2024-02-14,"['reggaeton', 'urbano latino']",55,168871,0.0267,0.839,0.792,0.0,10,0.112,-5.887,1,0.0765,105.027,4,0.539
A Day In The Life,39WdQbTRIFQsHSgBNGgXsI,Apollo LTD,A Day In The Life,2024-02-16,"['ccm', 'christian pop']",42,215527,0.00533,0.551,0.817,4.52e-06,6,0.666,-5.049,1,0.0494,151.938,4,0.648
Nice For What,3CA9pLiwRIGtUBiMjbZmRw,Drake,Scorpion,2018-06-29,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",82,210746,0.0891,0.585,0.909,9.7e-05,8,0.119,-6.474,1,0.0707,93.372,4,0.758
Love Lost,2z9iuAxKv4TTeCrPAxxKg9,"Mac Miller, The Temper Trap","I Love Life, Thank You",2022-07-22,"['hip hop', 'pittsburgh rap', 'rap']",80,162875,0.528,0.735,0.812,0.0,2,0.186,-4.417,1,0.151,109.829,4,0.584
Flashing Lights,5TRPicyLGbAF2LGBFbHGvO,"Kanye West, Dwele",Graduation,2007-09-11,"['chicago rap', 'hip hop', 'rap']",91,237506,0.0381,0.639,0.628,0.0,6,0.386,-7.578,0,0.0399,90.482,4,0.43
Cream,4O89rUWrGgWYKaHJUOp314,Aaron May,CHASE,2019-02-28,[],71,113555,0.12,0.87,0.37,0.0,1,0.117,-6.143,1,0.393,169.927,4,0.747
Enough Is Enough,3BHFResGQiUvbYToUdaDQz,Post Malone,AUSTIN,2023-07-28,"['dfw rap', 'melodic rap', 'pop', 'rap']",77,165175,0.014,0.483,0.768,0.0,0,0.109,-4.911,1,0.0344,166.061,4,0.332
Revenge,5TXDeTFVRVY7Cvt0Dw4vWW,XXXTENTACION,17,2017-08-25,"['emo rap', 'miami hip hop', 'rap']",88,120026,0.782,0.746,0.251,0.00203,11,0.106,-16.169,0,0.259,139.999,4,0.18
a m a r i,2cnKST6T9qUo2i907lm8zX,J. Cole,The Off-Season,2021-05-14,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",76,148421,0.127,0.725,0.713,0.0,4,0.617,-6.173,0,0.187,65.988,4,0.207
Hate It Or Love It,2wGSgTmgSF3xjRrHkTc25R,"The Game, 50 Cent",The Documentary,2005,"['detroit hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",85,206400,0.14,0.802,0.785,0.0,9,0.123,-4.781,1,0.207,99.998,4,0.435
21 Questions,41bIQPBE1lFN0mmw6Lmssz,"50 Cent, Nate Dogg",Get Rich Or Die Tryin',2003-02-06,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",76,224426,0.353,0.576,0.807,0.000363,6,0.0512,-3.908,0,0.317,90.012,4,0.908
